Gene	5 prime intergenic length	Motif count	Motif positions(plus strand)	Motif positions(minus strand)
PMAA_038990	1724	8		-173,-446,-1098,-1136,-1334,-1492,-1529,-1624
PMAA_098620	349	3		-7,-39,-118
PMAA_025330	180	3	-48	-46,-58
PMAA_081360	992	2		-127,-329
PMAA_004050	1027	3	-650,-739	-67
PMAA_088100	1920	4	-1510,-1783,-1908	-1665
PMAA_013750	190	1		-76
PMAA_084700	366	4		-35,-64,-183,-288
PMAA_040330	2500	9	-616,-1471	-614,-781,-789,-795,-809,-817,-1325
PMAA_013830	451	1		-369
PMAA_072810	1188	2		-47,-884
PMAA_097210	1058	2	-12	-126
PMAA_046330	2500	5		-186,-192,-510,-810,-902
PMAA_070540	994	4	-212,-328,-502,-987	
PMAA_098440	1205	3	-372,-570	-13
PMAA_053170	241	2	-197	-116
PMAA_044860	296	2	-45	-146
PMAA_076040	1365	5	-465,-794,-1182,-1310	-489
PMAA_079090	965	4	-574,-707	-178,-257
PMAA_023360	636	1	-111	
PMAA_072970	1872	9	-1315,-1331,-1547	-111,-213,-223,-1283,-1313,-1582
PMAA_051990	1614	8	-150,-592,-883,-890	-180,-826,-1179,-1559
PMAA_072600	712	3	-179	-472,-662
PMAA_044960	1313	7	-559,-569,-1059,-1162	-350,-425,-467
PMAA_059190	542	3	-326	-300,-399
PMAA_071770	204	1		-170
PMAA_079890	1078	1		-88
PMAA_079540	968	6	-89,-425,-669	-233,-277,-462
PMAA_099860	409	1	-214	
PMAA_042540	1436	6	-513,-521,-960	-172,-780,-914
PMAA_021500	804	4	-77,-627	-273,-545
PMAA_075380	2500	13	-158,-992,-1351,-1571,-1864	-17,-202,-242,-353,-470,-641,-1185,-2071
PMAA_021050	731	6	-178,-243	-67,-117,-471,-483
PMAA_049530	175	2	-161	-120
PMAA_064400	772	1	-466	
PMAA_038050	630	4	-44,-229	-211,-328
PMAA_030260	2500	13	-249,-1320,-1565,-2001,-2294	-445,-550,-701,-1246,-1278,-1324,-1583,-2493
PMAA_076350	434	1		-318
PMAA_079460	2115	8	-1260,-1723,-1743	-815,-1004,-1196,-1414,-1605
PMAA_098990	1045	8	-149,-579,-951	-57,-260,-681,-816,-873
PMAA_020900	1048	11	-9,-194,-612,-631,-944,-1017,-1045	-14,-234,-414,-685
PMAA_027270	211	1	-172	
PMAA_027900	368	1	-335	
PMAA_090620	567	3	-154,-224,-357	
PMAA_099710	260	1	-208	
PMAA_050480	250	2	-89,-198	
PMAA_041690	387	1	-27	
PMAA_029620	189	1		-145
PMAA_091680	294	1		-33
PMAA_052390	350	2	-293	-268
PMAA_077390	1229	6	-380	-146,-348,-360,-774,-1037
PMAA_080700	2362	8	-930,-2175	-121,-566,-835,-856,-916,-2024
PMAA_030190	588	5	-320,-455,-581	-318,-531
PMAA_054810	734	4	-295,-441,-557,-575	
PMAA_073550	1680	5	-561,-1646	-193,-1171,-1498
PMAA_056670	1250	4	-187,-193,-1184,-1229	
PMAA_000960	1744	4	-113,-561,-725,-1642	
PMAA_053280	1002	3	-294	-176,-323
PMAA_057100	639	3	-384	-232,-536
PMAA_050730	657	1	-331	
PMAA_003920	1081	6	-92,-112,-573	-315,-609,-718
PMAA_047880	211	1	-175	
PMAA_072440	796	4	-113	-2,-129,-361
PMAA_077020	1617	8	-838,-1067,-1246	-1047,-1196,-1307,-1326,-1552
PMAA_029200	981	4	-274,-899	-509,-684
PMAA_082700	585	2		-352,-375
PMAA_030990	133	1	-56	
PMAA_045010	1537	4	-642	-88,-179,-1102
PMAA_020670	2500	5	-674,-1278	-116,-476,-2202
PMAA_073730	440	3	-52,-128	-276
PMAA_080560	527	2	-186	-349
PMAA_009380	1119	5	-261,-985	-3,-300,-321
PMAA_024170	2500	7	-703,-979,-2185	-258,-957,-1226,-2068
PMAA_102130	1417	7	-148,-330,-1328	-79,-508,-700,-1083
PMAA_096480	148	1		-88
PMAA_031020	887	3	-392,-862	-83
PMAA_038250	1742	8	-561	-516,-1230,-1250,-1283,-1344,-1424,-1487
PMAA_065110	482	5	-339,-409	-47,-304,-323
PMAA_032220	1300	9	-6,-191,-294,-995,-1259	-10,-887,-1060,-1259
PMAA_004930	2500	4	-456,-589,-949,-1729	
PMAA_035250	2035	4	-280,-881,-1789	-104
PMAA_066120	2500	2		-22,-460
PMAA_101800	1553	5	-276,-1262	-620,-1077,-1405
PMAA_035920	764	3	-494	-541,-631
PMAA_092170	434	6	-318,-374,-388	-146,-159,-389
PMAA_025150	1762	3	-741,-886	-1000
PMAA_097070	382	2	-348	-142
PMAA_053820	791	3	-413,-506,-637	
PMAA_039010	2500	13	-335,-540,-758,-1484,-2145,-2246	-124,-196,-722,-995,-1304,-2114,-2162
PMAA_036690	324	4	-304	-134,-174,-194
PMAA_049140	295	1		-109
PMAA_084280	558	2	-236,-491	
PMAA_026040	475	1		-107
PMAA_052410	623	2		-44,-111
PMAA_032590	858	4	-615	-45,-102,-362
PMAA_087480	1539	2		-700,-1033
PMAA_011890	747	3	-80,-616,-727	
PMAA_004150	818	1		-466
PMAA_051460	1244	1		-986
PMAA_075890	281	2	-63,-104	
PMAA_086020	274	2	-118	-93
PMAA_070550	994	4		-7,-492,-666,-782
PMAA_044270	1007	3		-374,-733,-943
PMAA_089770	232	1	-47	
PMAA_023570	2500	7	-1655	-662,-981,-1115,-1519,-1798,-2256
PMAA_041560	1299	2		-819,-986
PMAA_049010	425	2		-246,-257
PMAA_006260	1259	5	-378	-261,-537,-628,-1056
PMAA_011260	426	3	-111,-136	-137
PMAA_087730	567	2		-139,-149
PMAA_019040	459	1		-103
PMAA_004310	493	2		-44,-75
PMAA_048760	1006	5	-493	-141,-168,-529,-665
PMAA_045900	2500	11	-701,-908,-1084,-1732,-1744	-15,-515,-588,-918,-2342,-2389
PMAA_042300	439	2		-75,-155
PMAA_092560	239	2	-185	-183
PMAA_078710	620	4	-133,-396	-400,-588
PMAA_033170	895	5	-233,-690	-246,-279,-689
PMAA_069670	243	1		-8
PMAA_086280	108	1	-36	
PMAA_059780	398	1		-84
PMAA_008160	1148	3	-178	-429,-828
PMAA_014370	2089	7	-753,-949	-686,-922,-1761,-2025,-2061
PMAA_060400	222	2		-32,-38
PMAA_062660	755	3		-109,-675,-687
PMAA_068670	2426	11	-976,-1192,-1342,-1688,-1765,-1948	-794,-812,-1559,-1727,-1930
PMAA_016280	1262	4	-126,-202	-430,-507
PMAA_062930	666	4	-38,-187,-483	-226
PMAA_019590	1609	4	-1402	-512,-1311,-1468
PMAA_019260	2221	5	-1425	-661,-904,-954,-1707
PMAA_061310	2500	8	-689,-1255,-1919	-359,-1732,-1892,-2018,-2194
PMAA_077300	442	5	-263,-343	-66,-286,-376
PMAA_100980	1383	4	-391	-81,-165,-311
PMAA_064790	284	1	-234	
PMAA_089190	401	5	-144,-175	-72,-256,-331
PMAA_091910	980	6	-405,-637,-685	-378,-637,-861
PMAA_070140	272	3	-245	-71,-207
PMAA_085390	202	1	-158	
PMAA_008290	1216	1	-379	
PMAA_061470	2500	7	-942,-2492	-185,-208,-1144,-1354,-1454
PMAA_081550	552	1		-368
PMAA_022350	553	1	-196	
PMAA_088820	571	4	-365	-60,-180,-371
PMAA_040190	232	1		-209
PMAA_024740	2500	6	-34,-876,-1852,-2137	-474,-1109
PMAA_100180	1946	4	-43,-538,-1502	-1696
PMAA_021330	1991	4	-123,-161,-210	-531
PMAA_087860	1125	3		-144,-510,-717
PMAA_079200	1334	3	-1039,-1051	-1259
PMAA_089990	1501	7	-162,-333,-493,-887,-1222	-15,-1130
PMAA_036840	994	6	-863,-913	-308,-811,-911,-935
PMAA_017880	538	3	-20	-439,-458
PMAA_093210	605	1	-156	
PMAA_098290	1636	5	-147,-155	-643,-1082,-1466
PMAA_085640	259	2		-24,-101
PMAA_093960	281	1		-233
PMAA_004210	2500	14	-191,-315,-472,-1856,-1868	-40,-504,-637,-874,-1109,-1412,-2033,-2386,-2424
PMAA_068090	1693	12	-573,-768,-1223	-249,-411,-437,-491,-756,-908,-1036,-1282,-1335
PMAA_050900	2500	10	-184,-947,-1393,-1456,-1917	-6,-128,-443,-1570,-2028
PMAA_081080	2500	3		-891,-949,-2311
PMAA_023510	1132	11	-16,-80,-326,-512,-748,-760	-32,-260,-694,-874,-1089
PMAA_043430	908	5	-205,-284,-346,-907	-809
PMAA_015020	438	2	-344	-177
PMAA_046100	1603	4	-1045	-1219,-1424,-1586
PMAA_085700	342	3	-69,-201	-228
PMAA_017080	1606	8	-496,-1257,-1311,-1324,-1333	-761,-815,-838
PMAA_007350	379	1	-353	
PMAA_034150	564	1		-226
PMAA_011870	320	2	-224,-235	
PMAA_034500	624	1	-537	
PMAA_034330	1277	7	-800,-828	-51,-438,-590,-679,-894
PMAA_056080	417	1	-69	
PMAA_003720	1057	3	-181,-281	-680
PMAA_071540	193	3		-17,-64,-71
PMAA_025290	398	3	-284	-121,-360
PMAA_074710	1055	6	-599,-940,-972	-287,-1009,-1038
PMAA_079390	1819	12	-683,-701,-1107,-1359,-1367	-35,-107,-324,-457,-474,-648,-654
PMAA_036410	432	2	-252	-389
PMAA_064890	1359	3	-1355	-48,-1275
PMAA_077250	759	4	-573,-741	-152,-278
PMAA_064330	249	1		-71
PMAA_066490	1969	8	-86,-210,-450,-706,-1770	-34,-253,-1274
PMAA_028150	1377	6	-33	-465,-501,-507,-995,-1020
PMAA_066940	266	5	-99,-191	-3,-75,-97
PMAA_073940	864	3	-291,-436	-212
PMAA_098870	843	5	-39,-139,-563,-590	-551
PMAA_056880	430	6	-67	-35,-48,-204,-298,-328
PMAA_063320	1355	8	-82,-135,-1220	-6,-576,-584,-642,-1008
PMAA_031620	695	2	-68	-460
PMAA_088640	1630	4	-906	-521,-798,-1283
PMAA_084110	717	2	-115,-617	
PMAA_090430	1073	9	-309,-755	-42,-74,-429,-835,-942,-964,-1042
PMAA_099470	1122	4	-152,-203,-724	-629
PMAA_021190	1354	5	-57,-158,-1084	-349,-1285
PMAA_101320	1919	9	-65,-948,-957,-1557	-188,-374,-542,-1511,-1863
PMAA_030520	1227	4	-243,-800,-1191	-433
PMAA_030030	756	5	-132,-521,-611	-288,-541
PMAA_020240	387	1	-152	
PMAA_032720	493	5	-17,-330,-420	-92,-258
PMAA_092360	276	1		-18
PMAA_053610	477	1	-58	
PMAA_005070	597	1	-389	
PMAA_096870	2500	11	-398,-592,-650,-994,-1648,-2178,-2327	-764,-1269,-1527,-1779
PMAA_084070	2500	9	-613,-724,-731,-1052,-1844,-2360	-182,-233,-1905
PMAA_013250	664	1		-503
PMAA_095370	1377	9	-942,-962,-1092,-1156,-1331,-1362	-1045,-1090,-1112
PMAA_042930	243	1	-192	
PMAA_072010	501	3	-240,-247	-334
PMAA_001280	792	5	-303	-71,-335,-436,-491
PMAA_010050	2500	9	-73,-818,-1422	-3,-132,-189,-697,-1312,-1465
PMAA_080910	277	1	-274	
PMAA_014610	505	4	-274,-282,-308	-283
PMAA_035150	2500	13	-163,-719,-796,-815,-831,-1030,-1211,-1611,-1834,-2099,-2478	-84,-280
PMAA_070700	129	2		-48,-54
PMAA_005210	727	3	-276	-8,-710
PMAA_058590	1193	1	-1135	
PMAA_097470	1065	6	-506,-871	-47,-125,-200,-609
PMAA_027590	1344	2	-112	-618
PMAA_101630	863	7	-422,-532,-697,-736,-817,-827	-194
PMAA_095080	538	3	-35,-521	-64
PMAA_073050	816	1		-747
PMAA_069110	2500	10	-1334,-1873,-2491	-127,-1079,-1142,-1231,-2089,-2377,-2465
PMAA_037230	2089	6	-672,-1220,-1532	-80,-1111,-1439
PMAA_031920	729	4		-208,-246,-292,-544
PMAA_102670	559	5	-178,-249	-73,-476,-515
PMAA_009170	848	9	-481,-527,-617,-848	-2,-213,-619,-707,-749
PMAA_027730	190	2	-159,-167	
PMAA_095800	863	3	-42,-686	-560
PMAA_076660	1773	7	-518,-1147,-1377,-1685	-320,-1034,-1249
PMAA_027040	377	1		-99
PMAA_062490	642	2		-177,-302
PMAA_025400	1104	6	-142,-792	-380,-431,-718,-925
PMAA_040420	881	3	-368,-663,-677	
PMAA_038550	1197	3		-261,-810,-1038
PMAA_087250	106	1		-10
PMAA_051610	528	4	-59,-317	-64,-373
PMAA_029870	207	1	-66	
PMAA_003690	1216	2	-272	-980
PMAA_089340	1688	12	-337,-434,-553,-724,-1414	-94,-254,-387,-502,-517,-952,-1070
PMAA_089690	644	1		-283
PMAA_055970	873	3	-528	-162,-453
PMAA_096120	88	1	-70	
PMAA_036060	665	4	-206,-539	-117,-629
PMAA_055750	917	6	-211,-243	-317,-330,-367,-456
PMAA_093180	339	2	-255,-266	
PMAA_049480	391	3	-291	-53,-132
PMAA_083930	459	1	-430	
PMAA_040760	629	4	-422	-127,-359,-496
PMAA_082270	352	4	-21,-206	-64,-293
PMAA_025210	674	2		-10,-639
PMAA_017700	1417	2		-549,-1352
PMAA_061670	824	2		-152,-399
PMAA_078940	1949	7	-490,-576	-25,-590,-1297,-1793,-1921
PMAA_044420	2408	8	-109,-1164,-1673,-1792,-1803,-2111,-2237	-1055
PMAA_018500	766	4	-591,-747	-592,-612
PMAA_014460	437	3	-333,-368,-428	
PMAA_081960	383	1		-369
PMAA_068240	2500	6	-94,-1829	-169,-190,-224,-1555
PMAA_068790	1233	7	-356,-425,-565,-647,-979	-39,-985
PMAA_023710	666	2	-545	-343
PMAA_077820	1803	4	-131	-70,-1713,-1782
PMAA_077530	832	7	-46,-795	-190,-331,-634,-690,-780
PMAA_065300	1508	4	-535,-696,-968	-1263
PMAA_090980	340	3	-131,-335	-10
PMAA_019900	1646	7	-332	-28,-330,-618,-690,-1037,-1386
PMAA_048680	235	1	-199	
PMAA_100400	832	4	-154	-77,-251,-397
PMAA_066370	480	1	-203	
PMAA_039200	2500	14	-669,-774,-1021,-1839,-1876,-1957,-2177,-2450	-103,-293,-364,-377,-440,-2358
PMAA_039800	1062	3	-135	-294,-910
PMAA_006480	383	2	-337	-29
PMAA_060230	232	1		-65
PMAA_007100	1296	4	-196,-1096,-1274	-29
PMAA_008330	1803	8	-257,-1187	-228,-297,-383,-869,-1433,-1596
PMAA_068420	826	4	-518,-562,-643	-413
PMAA_088340	1182	4	-224	-480,-615,-982
PMAA_023390	675	2	-104	-239
PMAA_032780	2205	7	-1170,-1765,-1966,-2047	-371,-574,-1037
PMAA_052990	313	2	-145,-204	
PMAA_037330	945	2		-620,-921
PMAA_026410	606	1	-429	
PMAA_050430	1398	4	-818	-305,-471,-1012
PMAA_092970	2135	9	-472,-1057,-1373,-1822	-73,-256,-1110,-1602,-1934
PMAA_002880	217	3	-102,-125	-100
PMAA_041290	2500	9	-1064,-1468,-2392	-103,-460,-609,-1163,-1649,-1789
PMAA_082090	1611	9	-129,-305,-817,-1132,-1507,-1601	-97,-1110,-1213
PMAA_097180	1241	9	-233,-803,-1096,-1160	-356,-637,-667,-846,-1226
PMAA_052170	803	4	-188,-583	-165,-386
PMAA_089520	814	4	-579	-666,-684,-775
PMAA_036850	919	3	-208	-37,-402
PMAA_086610	643	2	-247	-45
PMAA_080440	325	1		-186
PMAA_034780	700	1	-155	
PMAA_094250	2500	16	-81,-493,-600,-672,-960,-1036,-1793,-1808,-1817,-1983,-2057,-2314,-2452	-802,-1495,-1703
PMAA_022650	331	1	-116	
PMAA_013880	2500	11	-600,-611,-623,-1116,-1140	-316,-551,-870,-1370,-1537,-1747
PMAA_095400	2070	12	-234,-267	-539,-902,-956,-1046,-1067,-1145,-1326,-1724,-1961,-1996
PMAA_025350	539	1	-379	
PMAA_081340	344	1	-136	
PMAA_088120	2098	4	-1444,-2029,-2045	-1733
PMAA_013730	2500	11	-851,-2318	-321,-557,-926,-1201,-1248,-1443,-1784,-1965,-2331
PMAA_052190	2500	16	-70,-103,-761,-987,-1060,-1148,-1804	-152,-320,-469,-674,-962,-1007,-1495,-1582,-1829
PMAA_094520	1752	4	-556,-1151	-301,-501
PMAA_065770	549	2		-108,-490
PMAA_019670	1047	1	-369	
PMAA_016540	960	2	-558	-199
PMAA_075190	136	1	-36	
PMAA_033780	414	1		-54
PMAA_097980	2500	7	-262,-755,-876,-1764,-2285	-98,-1374
PMAA_072830	810	7	-439,-583	-15,-393,-492,-538,-623
PMAA_097230	251	1		-34
PMAA_070080	200	2	-127	-158
PMAA_043050	1272	5	-323,-1220	-134,-240,-820
PMAA_012280	244	2	-48,-114	
PMAA_012930	676	7	-477,-488,-658	-74,-158,-177,-506
PMAA_013080	2496	4	-211,-938	-895,-2080
PMAA_079700	1935	7	-399,-1338,-1692	-233,-592,-1527,-1825
PMAA_095580	1839	6	-1033,-1196	-328,-705,-849,-1059
PMAA_067950	1458	3		-356,-673,-946
PMAA_091560	494	4	-139,-238,-244,-432	
PMAA_075670	1805	7	-749,-799,-1073,-1692	-337,-1631,-1652
PMAA_067220	2500	4	-1368,-1635,-1830	-1335
PMAA_033430	1175	2	-481,-1085	
PMAA_070880	788	2	-452	-377
PMAA_098600	1301	8	-8,-18,-75,-1054,-1255,-1295	-97,-133
PMAA_044010	726	3	-110,-592	-312
PMAA_076390	1177	5	-317,-1139,-1173	-152,-1059
PMAA_079560	1147	2	-91,-644	
PMAA_099800	1722	7	-367,-425,-648	-199,-476,-939,-1146
PMAA_040210	388	3		-39,-191,-197
PMAA_047960	171	1		-83
PMAA_072480	1746	7	-268,-1131,-1206,-1678	-1433,-1463,-1537
PMAA_021070	174	2	-149,-159	
PMAA_038030	2500	10	-633,-1706,-1947,-2166,-2175	-189,-631,-1925,-2459,-2470
PMAA_091110	1887	7	-561,-617,-1715	-633,-640,-1554,-1725
PMAA_064420	1796	9	-581,-656,-1289,-1418,-1721	-401,-702,-732,-1030
PMAA_012420	761	3	-402,-741	-11
PMAA_030200	1514	4	-381,-533,-733,-1017	
PMAA_094980	1237	4	-715	-203,-236,-683
PMAA_005610	386	1	-297	
PMAA_094760	1791	10	-340,-457,-724,-1691	-253,-774,-863,-879,-1256,-1465
PMAA_098460	583	2	-477	-280
PMAA_053110	1617	2	-34	-683
PMAA_090600	340	1		-105
PMAA_027920	2500	8	-392,-1865,-2078	-80,-882,-963,-1002,-2025
PMAA_099730	2277	9	-251,-859,-1383,-1671,-1743	-111,-1082,-1608,-1700
PMAA_015810	485	1		-424
PMAA_006040	777	4	-143,-173,-669	-209
PMAA_029600	472	2	-201	-1
PMAA_056410	1069	4	-132,-941	-887,-1013
PMAA_003270	494	3	-71	-92,-454
PMAA_028560	1630	6	-615,-1275,-1511	-1305,-1482,-1489
PMAA_080760	668	3	-386	-64,-612
PMAA_066570	307	2	-92,-260	
PMAA_073530	781	6	-217,-272,-747	-93,-426,-647
PMAA_009410	633	3	-14,-526	-568
PMAA_056690	2113	12	-30,-654	-29,-36,-419,-890,-1052,-1090,-1555,-1611,-1628,-1810
PMAA_041810	249	1		-25
PMAA_003300	119	1	-91	
PMAA_000900	355	2		-112,-227
PMAA_043570	782	5	-418,-507,-758	-290,-353
PMAA_083530	2095	9	-245,-473,-1359,-1468,-1492,-1819	-288,-1523,-1931
PMAA_057120	2500	8	-661,-987,-1209	-428,-1647,-1726,-1972,-2358
PMAA_016620	637	2	-206,-422	
PMAA_072220	2500	5	-871,-1758,-1806	-1912,-2182
PMAA_038290	283	2	-189	-272
PMAA_059870	137	2		-20,-116
PMAA_101790	1553	5	-148,-476,-933	-291,-1277
PMAA_035490	601	1	-330	
PMAA_045070	383	3	-40,-293	-183
PMAA_073280	114	2		-23,-34
PMAA_020650	405	1		-68
PMAA_083240	629	2	-177,-519	
PMAA_006290	238	5	-148,-174,-224	-41,-204
PMAA_039780	109	2		-52,-84
PMAA_017620	564	3	-276,-288	-274
PMAA_096460	646	2	-359	-154
PMAA_031000	272	3	-80,-120	-30
PMAA_037920	1042	2	-119	-101
PMAA_058690	1114	5	-341,-517,-982,-1063	-123
PMAA_020790	501	6	-140,-166,-182,-288,-497	-144
PMAA_004950	733	2		-428,-698
PMAA_065170	834	4	-613,-787	-591,-768
PMAA_035270	2500	3	-541,-854	-1014
PMAA_051260	1091	12	-154,-682,-743,-764	-237,-266,-330,-741,-854,-866,-874,-884
PMAA_101860	1246	7	-43,-88,-287,-404,-554	-235,-333
PMAA_023640	1174	4	-102,-571,-1075	-171
PMAA_066140	707	3	-622	-118,-300
PMAA_008820	367	1	-265	
PMAA_005680	171	1	-66	
PMAA_053800	346	2		-82,-224
PMAA_028800	674	3	-12,-451	-625
PMAA_083230	426	2	-127	-321
PMAA_096600	932	3	-290,-899	-908
PMAA_083580	2212	7	-715,-1689,-1813,-2071	-1773,-1949,-2197
PMAA_002450	391	2		-167,-181
PMAA_082180	152	1		-60
PMAA_016150	633	5	-431,-483,-558	-156,-450
PMAA_075870	121	2		-79,-89
PMAA_078880	1911	5	-274,-295,-985	-1556,-1592
PMAA_025640	487	2	-162	-294
PMAA_054690	881	4	-224,-625,-650	-311
PMAA_010260	2500	12	-1032,-1248,-1936,-2048,-2059	-461,-473,-981,-1076,-1329,-1566,-1993
PMAA_043540	1297	5	-6,-1093,-1253	-783,-1271
PMAA_068120	296	1	-189	
PMAA_000010	1604	7	-747,-888,-1422	-165,-343,-722,-751
PMAA_089750	1100	1		-47
PMAA_075220	1420	6	-82,-98	-253,-1028,-1154,-1339
PMAA_011240	2500	11	-623,-629,-818,-1007,-1172,-2391	-138,-428,-591,-1182,-1423
PMAA_018990	649	2		-94,-284
PMAA_018330	457	6	-370	-39,-66,-233,-332,-349
PMAA_074700	704	2		-305,-631
PMAA_067760	829	3	-395	-91,-701
PMAA_048210	2500	8	-74,-581,-1126	-73,-489,-1604,-1941,-2064
PMAA_087750	554	2	-317	-53
PMAA_019060	2500	4	-1281,-1562,-2332	-862
PMAA_042320	1849	2	-1079	-874
PMAA_010760	306	2	-87	-130
PMAA_061080	1520	5	-813,-866,-1259,-1484	-642
PMAA_078080	2454	9	-1246,-1677	-457,-832,-960,-1165,-1886,-2054,-2119
PMAA_045920	1283	4	-201,-425	-46,-508
PMAA_069300	1258	6	-459,-647,-956,-1052,-1084	-1226
PMAA_078770	706	2	-687	-490
PMAA_033150	919	2		-54,-863
PMAA_069650	1621	2	-1059	-1499
PMAA_014390	1136	3	-208	-974,-1067
PMAA_060930	551	2	-284,-324	
PMAA_004330	1921	5	-998,-1842	-86,-729,-1161
PMAA_018190	461	2	-138	-237
PMAA_093640	734	2	-483,-715	
PMAA_008100	1627	2	-1588	-1343
PMAA_062680	649	3	-631	-7,-176
PMAA_068650	1011	1	-561	
PMAA_061330	1419	10	-158,-630,-774,-959,-1416	-345,-453,-737,-940,-1214
PMAA_100210	499	5	-266,-428	-24,-91,-476
PMAA_033330	1340	3	-425,-563,-612	
PMAA_033840	353	2		-16,-42
PMAA_041350	935	3	-155,-690	-230
PMAA_026720	2500	6	-187,-410	-349,-880,-1568,-2416
PMAA_070160	642	3	-74,-334	-339
PMAA_026090	185	1		-147
PMAA_004520	1256	5	-17,-784,-1217	-349,-679
PMAA_055560	578	5	-287,-326,-405,-541	-18
PMAA_060680	2500	11	-925,-948,-1192,-1522,-1793	-642,-657,-1180,-1745,-1834,-2020
PMAA_041670	356	5	-289,-298,-306	-268,-331
PMAA_081570	1359	2	-946	-256
PMAA_043180	1320	4	-580,-1025	-443,-1309
PMAA_024830	219	3	-173,-182	-30
PMAA_047740	217	1	-198	
PMAA_088800	769	1	-483	
PMAA_082980	687	6	-653	-97,-148,-184,-254,-557
PMAA_004660	717	1		-655
PMAA_052690	800	4	-503	-183,-360,-662
PMAA_024110	276	1		-85
PMAA_001160	2500	8	-306,-358,-1321,-1333,-2033	-663,-915,-1669
PMAA_026890	1495	6	-1407	-552,-627,-636,-1274,-1411
PMAA_087800	898	2		-885,-891
PMAA_006650	1392	7	-1146,-1194,-1249	-353,-472,-915,-972
PMAA_012630	257	1	-174	
PMAA_036860	919	3	-517,-882	-711
PMAA_093230	381	4	-200	-72,-152,-321
PMAA_006870	2500	6	-522,-806,-1571	-13,-251,-1668
PMAA_063790	413	1		-231
PMAA_043450	341	2		-52,-181
PMAA_066230	582	2	-440	-185
PMAA_081750	608	3	-452	-259,-281
PMAA_025170	417	2	-236	-302
PMAA_047290	2500	11	-1001,-1936	-166,-218,-410,-827,-1220,-1396,-1578,-1922,-1940
PMAA_015040	1745	6	-99,-1034,-1081	-146,-183,-894
PMAA_046160	288	1	-217	
PMAA_045580	792	4		-312,-321,-459,-565
PMAA_007370	1951	8	-1073,-1423	-263,-947,-1233,-1294,-1496,-1561
PMAA_034640	979	3	-925	-149,-292
PMAA_011810	396	2	-284,-396	
PMAA_034310	1217	2		-407,-877
PMAA_061940	1313	1	-173	
PMAA_063240	2494	8	-1165,-2486	-286,-316,-699,-1210,-1385,-1977
PMAA_071560	622	7	-438,-445,-452,-525	0,-338,-450
PMAA_028390	2500	10	-621,-1021	-310,-505,-738,-1053,-1297,-1783,-2205,-2488
PMAA_052030	1067	1		-446
PMAA_006740	809	2	-21,-292	
