Gene	5 prime intergenic length	Motif occurences
PMAA_021500	804	4
PMAA_075380	2642	15
PMAA_021050	731	6
PMAA_049530	175	2
PMAA_064400	772	1
PMAA_038050	630	4
PMAA_030260	3364	16
PMAA_076350	434	1
PMAA_079460	2115	8
PMAA_098990	1045	8
PMAA_020900	1048	11
PMAA_027270	211	1
PMAA_027900	368	1
PMAA_090620	567	3
PMAA_099710	260	1
PMAA_050480	250	2
PMAA_041690	387	1
PMAA_029620	189	1
PMAA_091680	294	1
PMAA_052390	350	2
PMAA_077390	1229	6
PMAA_080700	2362	8
PMAA_030190	588	5
PMAA_054810	734	4
PMAA_073550	1680	5
PMAA_056670	1250	4
PMAA_000960	1744	4
PMAA_053280	1002	3
PMAA_057100	639	3
PMAA_050730	657	1
PMAA_003920	1081	6
PMAA_047880	211	1
PMAA_072440	796	4
PMAA_077020	1617	8
PMAA_029200	981	4
PMAA_082700	585	2
PMAA_030990	133	1
PMAA_045010	1537	4
PMAA_020670	7201	20
PMAA_073730	440	3
PMAA_080560	527	2
PMAA_009380	1119	5
PMAA_024170	4245	14
PMAA_102130	1417	7
PMAA_096480	148	1
PMAA_031020	887	3
PMAA_038250	1742	8
PMAA_065110	482	5
PMAA_032220	1300	9
PMAA_004930	3104	6
PMAA_035250	2035	4
PMAA_066120	7981	19
PMAA_101800	1553	5
PMAA_035920	764	3
PMAA_092170	434	6
PMAA_025150	1762	3
PMAA_097070	382	2
PMAA_053820	791	3
PMAA_039010	3967	19
PMAA_036690	324	4
PMAA_049140	295	1
PMAA_084280	558	2
PMAA_026040	475	1
PMAA_052410	623	2
PMAA_032590	858	4
PMAA_087480	1539	2
PMAA_011890	747	3
PMAA_004150	818	1
PMAA_051460	1244	1
PMAA_075890	281	2
PMAA_086020	274	2
PMAA_070550	994	4
PMAA_044270	1007	3
PMAA_089770	232	1
PMAA_023570	3325	10
PMAA_041560	1299	2
PMAA_049010	425	2
PMAA_006260	1259	5
PMAA_011260	426	3
PMAA_087730	567	2
PMAA_019040	459	1
PMAA_004310	493	2
PMAA_048760	1006	5
PMAA_045900	7554	25
PMAA_042300	439	2
PMAA_092560	239	2
PMAA_078710	620	4
PMAA_033170	895	5
PMAA_069670	243	1
PMAA_086280	108	1
PMAA_059780	398	1
PMAA_008160	1148	3
PMAA_014370	2089	7
PMAA_060400	222	2
PMAA_062660	755	3
PMAA_068670	2426	11
PMAA_016280	1262	4
PMAA_062930	666	4
PMAA_019590	1609	4
PMAA_019260	2221	5
PMAA_061310	3259	9
PMAA_077300	442	5
PMAA_100980	1383	4
PMAA_064790	284	1
PMAA_089190	401	5
PMAA_091910	980	6
PMAA_070140	272	3
PMAA_085390	202	1
PMAA_008290	1216	1
PMAA_061470	3335	8
PMAA_081550	552	1
PMAA_022350	553	1
PMAA_088820	571	4
PMAA_040190	232	1
PMAA_024740	8127	29
PMAA_100180	1946	4
PMAA_021330	1991	4
PMAA_087860	1125	3
PMAA_079200	1334	3
PMAA_089990	1501	7
PMAA_036840	994	6
PMAA_017880	538	3
PMAA_093210	605	1
PMAA_098290	1636	5
PMAA_085640	259	2
PMAA_093960	281	1
PMAA_004210	2883	16
PMAA_068090	1693	12
PMAA_050900	4171	17
PMAA_081080	4882	15
PMAA_023510	1132	11
PMAA_043430	908	5
PMAA_015020	438	2
PMAA_046100	1603	4
PMAA_085700	342	3
PMAA_017080	1606	8
PMAA_007350	379	1
PMAA_034150	564	1
PMAA_011870	320	2
PMAA_034500	624	1
PMAA_034330	1277	7
PMAA_056080	417	1
PMAA_003720	1057	3
PMAA_071540	193	3
PMAA_025290	398	3
PMAA_074710	1055	6
PMAA_079390	1819	12
PMAA_036410	432	2
PMAA_064890	1359	3
PMAA_077250	759	4
PMAA_064330	249	1
PMAA_066490	1969	8
PMAA_028150	1377	6
PMAA_066940	266	5
PMAA_073940	864	3
PMAA_098870	843	5
PMAA_056880	430	6
PMAA_063320	1355	8
PMAA_031620	695	2
PMAA_088640	1630	4
PMAA_084110	717	2
PMAA_090430	1073	9
PMAA_099470	1122	4
PMAA_021190	1354	5
PMAA_101320	1919	9
PMAA_030520	1227	4
PMAA_030030	756	5
PMAA_020240	387	1
PMAA_032720	493	5
PMAA_092360	276	1
PMAA_053610	477	1
PMAA_005070	597	1
PMAA_096870	4884	21
PMAA_084070	4504	20
PMAA_013250	664	1
PMAA_095370	1377	9
PMAA_042930	243	1
PMAA_072010	501	3
PMAA_001280	792	5
PMAA_010050	2875	11
PMAA_080910	277	1
PMAA_014610	505	4
PMAA_035150	2573	13
PMAA_070700	129	2
PMAA_005210	727	3
PMAA_058590	1193	1
PMAA_097470	1065	6
PMAA_027590	1344	2
PMAA_101630	863	7
PMAA_095080	538	3
PMAA_073050	816	1
PMAA_069110	3769	13
PMAA_037230	2089	6
PMAA_031920	729	4
PMAA_102670	559	5
PMAA_009170	848	9
PMAA_027730	190	2
PMAA_095800	863	3
PMAA_076660	1773	7
PMAA_027040	377	1
PMAA_062490	642	2
PMAA_025400	1104	6
PMAA_040420	881	3
PMAA_038550	1197	3
PMAA_087250	106	1
PMAA_051610	528	4
PMAA_029870	207	1
PMAA_003690	1216	2
PMAA_089340	1688	12
PMAA_089690	644	1
PMAA_055970	873	3
PMAA_096120	88	1
PMAA_036060	665	4
PMAA_055750	917	6
PMAA_093180	339	2
PMAA_049480	391	3
PMAA_083930	459	1
PMAA_040760	629	4
PMAA_082270	352	4
PMAA_025210	674	2
PMAA_017700	1417	2
PMAA_061670	824	2
PMAA_078940	1949	7
PMAA_044420	2408	8
PMAA_018500	766	4
PMAA_014460	437	3
PMAA_081960	383	1
PMAA_068240	3394	7
PMAA_068790	1233	7
PMAA_023710	666	2
PMAA_077820	1803	4
PMAA_077530	832	7
PMAA_065300	1508	4
PMAA_090980	340	3
PMAA_019900	1646	7
PMAA_048680	235	1
PMAA_100400	832	4
PMAA_066370	480	1
PMAA_039200	2934	16
PMAA_039800	1062	3
PMAA_006480	383	2
PMAA_060230	232	1
PMAA_007100	1296	4
PMAA_008330	1803	8
PMAA_068420	826	4
PMAA_088340	1182	4
PMAA_023390	675	2
PMAA_032780	2205	7
PMAA_052990	313	2
PMAA_037330	945	2
PMAA_026410	606	1
PMAA_050430	1398	4
PMAA_092970	2135	9
PMAA_002880	217	3
PMAA_041290	4597	12
PMAA_082090	1611	9
PMAA_097180	1241	9
PMAA_052170	803	4
PMAA_089520	814	4
PMAA_036850	919	3
PMAA_086610	643	2
PMAA_080440	325	1
PMAA_034780	700	1
PMAA_094250	3943	22
PMAA_022650	331	1
PMAA_013880	2907	15
PMAA_095400	2070	12
PMAA_025350	539	1
PMAA_081340	344	1
PMAA_088120	2098	4
PMAA_013730	5958	13
PMAA_052190	3124	23
PMAA_094520	1752	4
PMAA_065770	549	2
PMAA_019670	1047	1
PMAA_016540	960	2
PMAA_075190	136	1
PMAA_033780	414	1
PMAA_097980	3409	10
PMAA_072830	810	7
PMAA_097230	251	1
PMAA_070080	200	2
PMAA_043050	1272	5
PMAA_012280	244	2
PMAA_012930	676	7
PMAA_013080	2496	4
PMAA_079700	1935	7
PMAA_095580	1839	6
PMAA_067950	1458	3
PMAA_091560	494	4
PMAA_075670	1805	7
PMAA_067220	2546	4
PMAA_033430	1175	2
PMAA_070880	788	2
PMAA_098600	1301	8
PMAA_044010	726	3
PMAA_076390	1177	5
PMAA_079560	1147	2
PMAA_099800	1722	7
PMAA_040210	388	3
PMAA_047960	171	1
PMAA_072480	1746	7
PMAA_021070	174	2
PMAA_038030	3917	14
PMAA_091110	1887	7
PMAA_064420	1796	9
PMAA_012420	761	3
PMAA_030200	1514	4
PMAA_094980	1237	4
PMAA_005610	386	1
PMAA_094760	1791	10
PMAA_098460	583	2
PMAA_053110	1617	2
PMAA_090600	340	1
PMAA_027920	3156	13
PMAA_099730	2277	9
PMAA_015810	485	1
PMAA_006040	777	4
PMAA_029600	472	2
PMAA_056410	1069	4
PMAA_003270	494	3
PMAA_028560	1630	6
PMAA_080760	668	3
PMAA_066570	307	2
PMAA_073530	781	6
PMAA_009410	633	3
PMAA_056690	2113	12
PMAA_041810	249	1
PMAA_003300	119	1
PMAA_000900	355	2
PMAA_043570	782	5
PMAA_083530	2095	9
PMAA_057120	4455	11
PMAA_016620	637	2
PMAA_072220	5348	12
PMAA_038290	283	2
PMAA_059870	137	2
PMAA_101790	1553	5
PMAA_035490	601	1
PMAA_045070	383	3
PMAA_073280	114	2
PMAA_020650	405	1
PMAA_083240	629	2
PMAA_006290	238	5
PMAA_039780	109	2
PMAA_017620	564	3
PMAA_096460	646	2
PMAA_031000	272	3
PMAA_037920	1042	2
PMAA_058690	1114	5
PMAA_020790	501	6
PMAA_004950	733	2
PMAA_065170	834	4
PMAA_035270	2877	5
PMAA_051260	1091	12
PMAA_101860	1246	7
PMAA_023640	1174	4
PMAA_066140	707	3
PMAA_008820	367	1
PMAA_005680	171	1
PMAA_053800	346	2
PMAA_028800	674	3
PMAA_083230	426	2
PMAA_096600	932	3
PMAA_083580	2212	7
PMAA_002450	391	2
PMAA_082180	152	1
PMAA_016150	633	5
PMAA_075870	121	2
PMAA_078880	1911	5
PMAA_025640	487	2
PMAA_054690	881	4
PMAA_010260	2545	12
PMAA_043540	1297	5
PMAA_068120	296	1
PMAA_000010	1604	7
PMAA_089750	1100	1
PMAA_075220	1420	6
PMAA_011240	2524	11
PMAA_018990	649	2
PMAA_018330	457	6
PMAA_074700	704	2
PMAA_067760	829	3
PMAA_048210	7310	26
PMAA_087750	554	2
PMAA_019060	9305	17
PMAA_042320	1849	2
PMAA_010760	306	2
PMAA_061080	1520	5
PMAA_078080	2454	9
PMAA_045920	1283	4
PMAA_069300	1258	6
PMAA_078770	706	2
PMAA_033150	919	2
PMAA_069650	1621	2
PMAA_014390	1136	3
PMAA_060930	551	2
PMAA_004330	1921	5
PMAA_018190	461	2
PMAA_093640	734	2
PMAA_008100	1627	2
PMAA_062680	649	3
PMAA_068650	1011	1
PMAA_061330	1419	10
PMAA_100210	499	5
PMAA_033330	1340	3
PMAA_033840	353	2
PMAA_041350	935	3
PMAA_026720	8951	22
PMAA_070160	642	3
PMAA_026090	185	1
PMAA_004520	1256	5
PMAA_055560	578	5
PMAA_060680	2601	11
PMAA_041670	356	5
PMAA_081570	1359	2
PMAA_043180	1320	4
PMAA_024830	219	3
PMAA_047740	217	1
PMAA_088800	769	1
PMAA_082980	687	6
PMAA_004660	717	1
PMAA_052690	800	4
PMAA_024110	276	1
PMAA_001160	2620	9
PMAA_026890	1495	6
PMAA_087800	898	2
PMAA_006650	1392	7
PMAA_012630	257	1
PMAA_036860	919	3
PMAA_093230	381	4
PMAA_006870	3691	8
PMAA_063790	413	1
PMAA_043450	341	2
PMAA_066230	582	2
PMAA_081750	608	3
PMAA_025170	417	2
PMAA_047290	3371	17
PMAA_015040	1745	6
PMAA_046160	288	1
PMAA_045580	792	4
PMAA_007370	1951	8
PMAA_034640	979	3
PMAA_011810	396	2
PMAA_034310	1217	2
PMAA_061940	1313	1
PMAA_063240	2494	8
PMAA_071560	622	7
PMAA_028390	3858	16
PMAA_052030	1067	1
PMAA_006740	809	2
PMAA_024760	197	3
PMAA_020000	1758	3
PMAA_056860	2126	6
PMAA_063300	823	5
PMAA_088660	1113	3
PMAA_025010	439	2
PMAA_002180	865	1
PMAA_044980	1319	2
PMAA_015540	2290	8
PMAA_084130	452	3
PMAA_024490	823	6
PMAA_092340	256	1
PMAA_085980	1603	3
PMAA_053630	796	3
PMAA_028070	290	1
PMAA_096850	3116	8
PMAA_053320	781	5
PMAA_005050	3062	13
PMAA_014800	766	3
PMAA_084050	419	4
PMAA_013270	495	1
PMAA_014690	424	3
PMAA_076230	2673	4
PMAA_072030	327	1
PMAA_069880	183	2
PMAA_025140	1762	3
PMAA_074660	1001	5
PMAA_009990	530	1
PMAA_005230	241	2
PMAA_070760	552	6
PMAA_012090	758	3
PMAA_101110	562	5
PMAA_067150	1724	15
PMAA_095120	262	3
PMAA_069370	998	4
PMAA_062300	3305	12
PMAA_021710	5373	20
PMAA_101650	1955	9
PMAA_101300	162	2
PMAA_030540	438	2
PMAA_009190	619	2
PMAA_102300	1755	10
PMAA_063870	908	5
PMAA_031760	133	1
PMAA_031940	1599	5
PMAA_055430	1513	4
PMAA_093430	131	1
PMAA_027710	1693	9
PMAA_076640	2716	12
PMAA_057800	275	1
PMAA_050670	1769	3
PMAA_095820	4785	18
PMAA_032940	1678	6
PMAA_040400	85	1
PMAA_038570	516	3
PMAA_059400	914	1
PMAA_091490	862	3
PMAA_029810	453	3
PMAA_080930	1373	9
PMAA_080240	659	1
PMAA_051670	91	2
PMAA_036080	978	5
PMAA_055770	278	4
PMAA_096140	6169	11
PMAA_058310	416	3
PMAA_018290	263	1
PMAA_011650	927	6
PMAA_055950	237	2
PMAA_083910	586	2
PMAA_054040	1463	4
PMAA_011380	668	3
PMAA_040740	1501	2
PMAA_042670	389	2
PMAA_082060	639	1
PMAA_101330	157	1
PMAA_048510	622	1
PMAA_078960	4412	17
PMAA_017760	865	2
PMAA_061650	3954	12
PMAA_066680	661	3
PMAA_069460	940	2
PMAA_039190	2934	16
PMAA_097710	207	2
PMAA_025230	322	2
PMAA_049600	1050	4
PMAA_018070	337	2
PMAA_011030	585	1
PMAA_068220	2384	8
PMAA_032410	298	1
PMAA_065320	1314	5
PMAA_037680	2158	6
PMAA_040060	2297	2
PMAA_077510	240	1
PMAA_051090	568	6
PMAA_066350	1047	4
PMAA_058530	628	1
PMAA_069790	2039	10
PMAA_039220	2559	5
PMAA_086180	218	1
PMAA_089320	2430	6
PMAA_063490	233	2
PMAA_005430	2435	7
PMAA_034810	669	3
PMAA_088320	10000	36
PMAA_037350	1087	6
PMAA_024140	132	2
PMAA_010920	417	4
PMAA_092910	758	1
PMAA_078340	4135	16
PMAA_005080	937	2
PMAA_044400	58	1
PMAA_014230	942	3
PMAA_014950	2248	4
PMAA_082110	2547	6
PMAA_022670	927	4
PMAA_088490	3239	7
PMAA_081320	2847	10
PMAA_047170	655	7
PMAA_041180	1846	3
PMAA_087210	298	2
PMAA_017470	745	2
PMAA_019650	775	4
PMAA_049400	1134	5
PMAA_046800	1420	6
PMAA_072850	910	4
PMAA_064050	3145	6
PMAA_014560	1100	3
PMAA_079940	442	5
PMAA_060740	391	3
PMAA_008310	1766	4
PMAA_060210	168	2
PMAA_007160	1705	8
PMAA_076000	481	2
PMAA_067970	4675	15
PMAA_072930	293	2
PMAA_023520	2286	8
PMAA_041440	269	2
PMAA_023030	635	3
PMAA_089810	640	4
PMAA_094160	505	2
PMAA_098660	1542	4
PMAA_093390	1811	10
PMAA_079580	2380	7
PMAA_099530	1438	6
PMAA_057270	146	2
PMAA_007570	1878	8
PMAA_099280	6070	29
PMAA_087610	410	4
PMAA_021010	636	1
PMAA_041230	5136	11
PMAA_064440	1174	3
PMAA_012400	1668	6
PMAA_093890	1003	5
PMAA_030220	1301	3
PMAA_007780	1156	4
PMAA_098480	896	4
PMAA_056450	894	2
PMAA_094700	1364	4
PMAA_074690	704	2
PMAA_050440	369	2
PMAA_057490	687	2
PMAA_090660	643	4
PMAA_099750	3573	9
PMAA_015830	1299	5
PMAA_077350	1288	3
PMAA_029660	980	2
PMAA_001780	1129	4
PMAA_091390	403	5
PMAA_080030	3778	11
PMAA_073510	278	2
PMAA_080740	1451	12
PMAA_092460	614	5
PMAA_000920	2784	9
PMAA_006410	433	3
PMAA_003790	366	2
PMAA_072200	842	6
PMAA_057140	394	3
PMAA_030950	380	2
PMAA_030480	1774	8
PMAA_001250	378	4
PMAA_003570	3319	9
PMAA_004600	2196	7
PMAA_039760	251	1
PMAA_028460	316	2
PMAA_053790	1067	3
PMAA_009690	2201	11
PMAA_036390	1392	4
PMAA_037900	1440	5
PMAA_031570	407	1
PMAA_077680	624	2
PMAA_006310	171	1
PMAA_027940	1205	2
PMAA_032880	3336	13
PMAA_065150	810	1
PMAA_101840	1001	7
PMAA_035210	855	6
PMAA_054360	2120	8
PMAA_066160	3320	14
PMAA_051790	187	2
PMAA_029990	1915	9
PMAA_092130	1918	6
PMAA_028820	188	1
PMAA_053860	4759	11
PMAA_059850	1270	7
PMAA_102790	1314	6
PMAA_031680	2307	4
PMAA_058410	1865	8
PMAA_042490	1191	5
PMAA_006880	2673	15
PMAA_059230	249	2
PMAA_054140	605	1
PMAA_078570	676	1
PMAA_010710	971	2
PMAA_010240	734	4
PMAA_035170	455	2
PMAA_041930	150	1
PMAA_003590	134	1
PMAA_022570	1202	3
PMAA_009030	463	2
PMAA_017530	845	2
PMAA_014000	835	2
PMAA_070510	720	4
PMAA_044230	313	2
PMAA_080130	1179	3
PMAA_027360	653	2
PMAA_055890	114	1
PMAA_062510	1993	13
PMAA_004970	1095	2
PMAA_067740	933	7
PMAA_074980	362	1
PMAA_048720	5077	9
PMAA_045940	1523	7
PMAA_006130	1852	3
PMAA_033130	250	3
PMAA_008730	1422	4
PMAA_048880	1896	7
PMAA_069320	258	2
PMAA_069630	8285	46
PMAA_044090	713	4
PMAA_036740	1346	2
PMAA_055090	769	2
PMAA_060910	562	2
PMAA_093660	1046	5
PMAA_049950	1771	5
PMAA_003210	379	2
PMAA_032080	1771	2
PMAA_033680	540	2
PMAA_086790	70	1
PMAA_033860	2673	9
PMAA_075470	992	2
PMAA_041200	242	1
PMAA_055230	1434	6
PMAA_055540	1720	2
PMAA_002330	1035	5
PMAA_003610	206	1
PMAA_003520	2196	9
PMAA_081510	1950	5
PMAA_088860	610	5
PMAA_024850	526	3
PMAA_047760	2196	6
PMAA_082300	551	2
PMAA_048230	1461	2
PMAA_068020	354	1
PMAA_087820	938	2
PMAA_012870	685	3
PMAA_029390	460	2
PMAA_086420	799	2
PMAA_026560	351	1
PMAA_012650	207	1
PMAA_085680	261	1
PMAA_008780	1004	2
PMAA_071120	3086	8
PMAA_026480	408	2
PMAA_018710	201	2
PMAA_043470	7652	22
PMAA_074060	3115	8
PMAA_037440	596	4
PMAA_032620	1659	4
PMAA_015060	1307	1
PMAA_001800	3572	15
PMAA_060000	1356	6
PMAA_087310	1378	7
PMAA_034660	581	1
PMAA_074420	283	2
PMAA_007310	1392	5
PMAA_011830	10000	31
PMAA_022280	409	2
PMAA_063260	2934	5
PMAA_065630	1572	7
PMAA_052010	876	3
PMAA_097370	189	2
PMAA_024700	553	1
PMAA_036210	2109	5
PMAA_066980	548	1
PMAA_020020	113	1
PMAA_041790	323	1
PMAA_093870	422	1
PMAA_098830	1131	3
PMAA_098340	1184	9
PMAA_088680	167	1
PMAA_071050	250	3
PMAA_025030	389	1
PMAA_095150	409	2
PMAA_095620	790	8
PMAA_065980	401	2
PMAA_084150	1578	3
PMAA_042700	175	4
PMAA_046630	390	3
PMAA_046140	1087	2
PMAA_020280	290	2
PMAA_056150	1703	5
PMAA_053650	236	3
PMAA_053300	4044	11
PMAA_086880	1643	4
PMAA_014820	2972	13
PMAA_076210	1553	5
PMAA_079240	425	2
PMAA_084030	325	2
PMAA_041370	1955	6
PMAA_057790	2250	9
PMAA_024930	2644	14
PMAA_042640	1991	8
PMAA_021480	269	1
PMAA_075000	251	3
PMAA_064850	268	4
PMAA_064580	1315	3
PMAA_009200	175	2
PMAA_070740	1438	4
PMAA_005960	622	4
PMAA_027550	1582	2
PMAA_024450	3169	5
PMAA_027880	3140	7
PMAA_083680	1012	4
PMAA_008880	421	1
PMAA_059450	601	1
PMAA_021730	164	1
PMAA_006670	2476	7
PMAA_030560	768	1
PMAA_101670	742	6
PMAA_080480	459	1
PMAA_028860	389	2
PMAA_031210	154	1
PMAA_031740	731	3
PMAA_031960	488	2
PMAA_102630	297	2
PMAA_093410	317	1
PMAA_050300	2409	15
PMAA_027770	535	2
PMAA_095840	2485	14
PMAA_050650	1573	8
PMAA_004780	3223	12
PMAA_038590	8167	22
PMAA_059420	650	6
PMAA_058450	345	2
PMAA_040460	150	2
PMAA_077160	2077	8
PMAA_029830	487	4
PMAA_017290	931	4
PMAA_073890	248	1
PMAA_080260	1219	4
PMAA_010010	1737	4
PMAA_058330	571	1
PMAA_045540	1049	3
PMAA_091030	381	1
PMAA_055930	552	1
PMAA_091010	485	1
PMAA_071830	1946	9
PMAA_074840	1915	3
PMAA_048530	686	5
PMAA_059680	482	1
PMAA_061980	3219	14
PMAA_061630	2938	13
PMAA_059270	1173	7
PMAA_063850	745	3
PMAA_068800	612	1
PMAA_069400	430	1
PMAA_049620	675	4
PMAA_068750	951	3
PMAA_043280	200	4
PMAA_018010	1010	5
PMAA_062720	564	4
PMAA_095530	987	6
PMAA_093330	1123	7
PMAA_032430	402	2
PMAA_040090	530	3
PMAA_028510	278	2
PMAA_056530	261	1
PMAA_077570	1673	3
PMAA_061180	1105	3
PMAA_054550	487	6
PMAA_089300	643	1
PMAA_089650	3972	16
PMAA_039240	1037	4
PMAA_096160	614	2
PMAA_022070	1561	3
PMAA_002620	1025	4
PMAA_076030	1365	5
PMAA_052220	411	3
PMAA_016360	651	1
PMAA_101210	1235	8
PMAA_048390	717	4
PMAA_092420	911	1
PMAA_097410	1484	5
PMAA_078320	839	1
PMAA_030100	181	3
PMAA_010900	631	3
PMAA_054100	720	3
PMAA_086300	853	5
PMAA_014210	609	2
PMAA_060580	2208	12
PMAA_022610	2246	2
PMAA_013840	451	1
PMAA_040320	1005	9
PMAA_015570	2828	13
PMAA_016500	279	4
PMAA_072870	1690	2
PMAA_050270	740	2
PMAA_064070	829	4
PMAA_005510	971	2
PMAA_059180	1068	4
PMAA_034870	6485	15
PMAA_079030	1297	1
PMAA_023370	636	1
PMAA_100000	4539	6
PMAA_021250	752	5
PMAA_002430	925	5
PMAA_033470	1357	2
PMAA_089870	1231	4
PMAA_085140	318	1
PMAA_098130	308	2
PMAA_094140	701	3
PMAA_098640	1246	5
PMAA_094490	57	1
PMAA_050880	1763	8
PMAA_081300	1267	1
PMAA_081650	146	2
PMAA_084320	2321	13
PMAA_099510	731	1
PMAA_021030	1605	3
PMAA_081120	1343	2
PMAA_069980	3678	15
PMAA_044910	1554	7
PMAA_079470	1392	4
PMAA_058060	163	2
PMAA_094720	602	4
PMAA_034290	955	8
PMAA_056300	1155	8
PMAA_049540	498	2
PMAA_015850	1910	9
PMAA_079800	708	3
PMAA_001010	3447	14
PMAA_085530	976	2
PMAA_008950	1488	4
PMAA_039400	352	1
PMAA_071790	1909	5
PMAA_003340	725	4
PMAA_065840	336	2
PMAA_072260	1947	3
PMAA_001270	588	6
PMAA_030970	927	4
PMAA_077080	1827	9
PMAA_035180	1332	4
PMAA_020340	766	1
PMAA_020610	1321	1
PMAA_073790	374	1
PMAA_086940	285	1
PMAA_097040	952	4
PMAA_013330	758	4
PMAA_002110	735	5
PMAA_027960	451	3
PMAA_037960	418	4
PMAA_058650	1301	6
PMAA_090130	788	1
PMAA_099770	878	4
PMAA_057300	3462	4
PMAA_090640	727	4
PMAA_030600	198	1
PMAA_035980	197	3
PMAA_091510	323	4
PMAA_035230	355	1
PMAA_051220	873	2
PMAA_053840	1620	6
PMAA_053510	1741	9
PMAA_070680	217	5
PMAA_025830	583	1
PMAA_096390	7789	26
PMAA_058430	140	1
PMAA_083270	830	3
PMAA_050790	347	2
PMAA_057160	503	3
PMAA_004140	826	4
PMAA_010730	822	1
PMAA_073130	716	2
PMAA_075830	472	1
PMAA_075510	2082	5
PMAA_010220	6562	27
PMAA_036180	1767	4
PMAA_014020	1632	5
PMAA_009010	782	3
PMAA_076560	595	1
PMAA_041120	1991	3
PMAA_006270	1854	1
PMAA_027340	197	1
PMAA_004990	576	1
PMAA_062530	1990	10
PMAA_067720	624	2
PMAA_038430	790	1
PMAA_001050	2227	3
PMAA_069610	10000	41
PMAA_069340	969	5
PMAA_041570	624	1
PMAA_083890	613	1
PMAA_060970	2249	12
PMAA_093600	261	1
PMAA_004190	1591	4
PMAA_061460	927	8
PMAA_059740	853	2
PMAA_059210	1138	7
PMAA_089460	627	3
PMAA_026760	486	1
PMAA_087230	989	2
PMAA_055210	740	4
PMAA_081820	779	3
PMAA_088840	213	1
PMAA_081530	424	1
PMAA_074300	865	3
PMAA_024870	188	2
PMAA_087790	1424	4
PMAA_019020	511	1
PMAA_082320	411	3
PMAA_075410	1347	3
PMAA_006010	902	2
PMAA_048250	960	1
PMAA_044050	210	1
PMAA_026580	6552	17
PMAA_008610	5088	19
PMAA_048940	1209	5
PMAA_017820	639	3
PMAA_080050	545	2
PMAA_044610	639	2
PMAA_007550	630	4
PMAA_060390	222	2
PMAA_012850	463	1
PMAA_020510	943	3
PMAA_018730	671	2
PMAA_043490	837	3
PMAA_007080	2527	8
PMAA_094550	650	3
PMAA_034160	2736	5
PMAA_068560	133	2
PMAA_081790	316	1
PMAA_015080	128	2
PMAA_102520	137	1
PMAA_001860	1559	9
PMAA_019280	586	5
PMAA_092890	1466	4
PMAA_061370	4367	21
PMAA_100250	1616	5
PMAA_007590	385	1
PMAA_098580	1552	9
PMAA_060020	1703	5
PMAA_007330	620	3
PMAA_063280	931	3
PMAA_088510	534	4
PMAA_034600	2294	9
PMAA_016010	170	1
PMAA_025580	168	3
PMAA_065610	716	6
PMAA_048870	1896	7
PMAA_036400	2423	2
PMAA_021930	107	1
PMAA_087370	3606	10
PMAA_097600	2046	11
PMAA_024720	116	1
PMAA_097350	86	1
PMAA_094800	1701	5
PMAA_093850	960	3
PMAA_003730	1057	3
PMAA_037200	448	1
PMAA_011670	2109	10
PMAA_056820	995	1
PMAA_098360	2021	7
PMAA_056790	3267	15
PMAA_013100	1195	5
PMAA_023590	2109	5
PMAA_025050	511	2
PMAA_084170	450	3
PMAA_042720	1651	3
PMAA_095600	955	5
PMAA_099180	563	4
