contig	primer1	primer2	start	end	size	refrag_size
102	DD64	PP57	2801437	2805837	4400	7189
102	Q35	L13	2275998	2276576	578	9861
102	Q37	L13	2276004	2276576	572	9861
102	N78	L13	2274905	2276576	1671	9861
102	N78	Q36	2274905	2275624	719	9861
102	N78	L6	2274905	2276160	1255	9861
102	L4	L13	2274939	2276576	1637	9861
102	L4	Q36	2274939	2275624	685	9861
102	L4	L6	2274939	2276160	1221	9861
102	L5	L13	2275606	2276576	970	9861
102	L5	L6	2275606	2276160	554	9861
102	Q39	L13	2273790	2276576	2786	9861
102	Q39	Q36	2273790	2275624	1834	9861
102	Q39	L6	2273790	2276160	2370	9861
102	Q39	L7	2273790	2274688	898	9861
102	J71	L42	474976	475521	545	12083
102	L28	L42	474976	475521	545	12083
102	L49	L42	475076	475521	445	12083
102	L37	L42	474971	475521	550	12083
102	I68	I67	2260810	2261245	435	4649
102	F76	F75	2262088	2263164	1076	6016
102	PP31	OO33	941478	944239	2761	17624
102	PP31	PP30	941478	943093	1615	17624
102	PP33	PP57	2801021	2805837	4816	7189
102	QQ66	QQ65	786401	790873	4472	6864
102	QQ66	RR29	786401	789065	2664	6864
102	QQ70	NN47	450708	452653	1945	4691
102	QQ70	N59	450708	451388	680	4691
102	QQ70	RR33	450708	451327	619	4691
102	QQ74	OO33	943897	944239	342	17624
102	RR30	QQ65	788644	790873	2229	6864
102	RR30	RR29	788644	789065	421	6864
102	RR32	RR31	653377	653832	455	1674
102	RR32	RR41	653377	653667	290	1674
102	RR34	NN47	450875	452653	1778	4691
102	RR34	N59	450875	451388	513	4691
102	RR34	RR33	450875	451327	452	4691
102	RR44	QQ65	788587	790873	2286	6864
102	RR44	RR29	788587	789065	478	6864
103	N46	N45	3140790	3141322	532	8912
103	LL66	N45	3139241	3141322	2081	8912
103	LL66	LL65	3139241	3139700	459	8912
103	Q45	Q43	880759	881678	919	6180
103	Q45	OO65	880759	882264	1505	6180
103	NN22	NN21	1688709	1689162	453	13715
103	NN22	CC13	1688709	1690915	2206	13715
103	NN22	EE34	1688709	1690736	2027	13715
103	EE35	NN21	1686249	1689162	2913	13715
103	EE35	CC13	1686249	1690915	4666	13715
103	EE35	EE34	1686249	1690736	4487	13715
103	CC14	NN21	1686173	1689162	2989	13715
103	CC14	CC13	1686173	1690915	4742	13715
103	CC14	EE34	1686173	1690736	4563	13715
103	RR50	RR48	3258712	3263936	5224	12306
103	UU4	UU3	1837451	1837719	268	8020
103	UU5	UU6	1634581	1635203	622	8414
93	AA73	AA41	737667	742124	4457	15936
93	AA73	AA42	737667	742470	4803	15936
93	AA73	AA70	737667	738058	391	15936
93	AA73	Z33	737667	741582	3915	15936
93	AA73	HH14	737667	743235	5568	15936
93	AA73	Z26	737667	739515	1848	15936
93	AA36	AA35	736490	737219	729	15936
93	AA36	AA41	736490	742124	5634	15936
93	AA36	AA42	736490	742470	5980	15936
93	AA36	AA70	736490	738058	1568	15936
93	AA36	Z33	736490	741582	5092	15936
93	AA36	Z26	736490	739515	3025	15936
93	Z35	AA35	736102	737219	1117	15936
93	Z35	AA70	736102	738058	1956	15936
93	Z35	Z33	736102	741582	5480	15936
93	Z35	Z26	736102	739515	3413	15936
93	Z27	AA72	738935	744243	5308	15936
93	Z27	AA41	738935	742124	3189	15936
93	Z27	AA42	738935	742470	3535	15936
93	Z27	Z34	738935	744756	5821	15936
93	Z27	Z33	738935	741582	2647	15936
93	Z27	HH14	738935	743235	4300	15936
93	Z27	Z26	738935	739515	580	15936
93	Z32	AA41	737999	742124	4125	15936
93	Z32	AA42	737999	742470	4471	15936
93	Z32	Z33	737999	741582	3583	15936
93	Z32	HH14	737999	743235	5236	15936
93	Z32	Z26	737999	739515	1516	15936
93	OO8	AA72	738951	744243	5292	15936
93	OO8	AA41	738951	742124	3173	15936
93	OO8	AA42	738951	742470	3519	15936
93	OO8	Z34	738951	744756	5805	15936
93	OO8	Z33	738951	741582	2631	15936
93	OO8	HH14	738951	743235	4284	15936
93	OO8	Z26	738951	739515	564	15936
93	NN39	AA72	740535	744243	3708	15936
93	NN39	AA41	740535	742124	1589	15936
93	NN39	AA42	740535	742470	1935	15936
93	NN39	Z34	740535	744756	4221	15936
93	NN39	Z33	740535	741582	1047	15936
93	NN39	HH14	740535	743235	2700	15936
93	NN46	AA72	738744	744243	5499	15936
93	NN46	AA41	738744	742124	3380	15936
93	NN46	AA42	738744	742470	3726	15936
93	NN46	Z33	738744	741582	2838	15936
93	NN46	HH14	738744	743235	4491	15936
93	NN46	Z26	738744	739515	771	15936
93	HH13	AA72	742586	744243	1657	15936
93	HH13	Z34	742586	744756	2170	15936
93	HH13	HH14	742586	743235	649	15936
93	UU7	UU8	1120575	1121000	425	4907
93	UU24	UU23	532549	534084	1535	13473
95	CC40	CC41	807307	807828	521	11207
95	HH16	HH15	1463972	1464306	334	6004
95	GG3	GG2	1071936	1072148	212	5451
95	SS97	SS98	1292980	1293329	349	17158
95	SS97	SS100	1292980	1294214	1234	17158
96	LL82	LL83	879701	880121	420	4247
96	AA15	NN35	5924457	5926761	2304	4380
96	AA15	DD5	5924457	5927096	2639	4380
96	AA15	AA22	5924457	5926761	2304	4380
96	AA15	AA14	5924457	5924972	515	4380
96	N12	L62	4783700	4784041	341	12548
96	N11	L62	4783322	4784041	719	12548
96	N11	J19	4783322	4783707	385	12548
96	L70	L69	1595522	1596081	559	17155
96	L71	L62	4783055	4784041	986	12548
96	L71	J19	4783055	4783707	652	12548
96	L71	J17	4783055	4783334	279	12548
96	L71	J29	4783055	4783321	266	12548
96	GG31	GG32	337188	337500	312	10565
96	JJ66	JJ65	4761530	4761882	352	854
96	Q16	L69	1591743	1596081	4338	17155
96	GG29	GG32	335856	337500	1644	10565
96	RR9	RR10	2243777	2248533	4756	9553
96	SS32	SS31	865499	865892	393	14973
97	FF14	FF12	2275227	2276217	990	14058
97	FF13	FF15	2274258	2275180	922	14058
97	FF13	FF12	2274258	2276217	1959	14058
97	AA80	FF15	2273419	2275180	1761	14058
97	AA80	FF12	2273419	2276217	2798	14058
97	NN18	NN17	1932401	1932792	391	7840
97	NN18	PP35	1932401	1933307	906	7840
97	UU9	UU10	1482365	1482861	496	12157
99	L35	Q49	1079053	1082365	3312	9722
99	L35	Q28	1079053	1079271	218	9722
99	L35	F43	1079053	1080112	1059	9722
99	L35	L36	1079053	1080015	962	9722
99	L34	Q49	1078773	1082365	3592	9722
99	L34	Q13	1078773	1079075	302	9722
99	L34	Q28	1078773	1079271	498	9722
99	L34	Q29	1078773	1078977	204	9722
99	L34	P48	1078773	1079209	436	9722
99	L34	P47	1078773	1079209	436	9722
99	L34	F43	1078773	1080112	1339	9722
99	L34	L36	1078773	1080015	1242	9722
99	I57	Q49	1078485	1082365	3880	9722
99	I57	I59	1078485	1078792	307	9722
99	I57	Q13	1078485	1079075	590	9722
99	I57	Q28	1078485	1079271	786	9722
99	I57	Q29	1078485	1078977	492	9722
99	I57	P48	1078485	1079209	724	9722
99	I57	P47	1078485	1079209	724	9722
99	I57	F1	1078485	1078796	311	9722
99	I57	F5	1078485	1078796	311	9722
99	I57	F43	1078485	1080112	1627	9722
99	I57	L36	1078485	1080015	1530	9722
99	I58	Q49	1078639	1082365	3726	9722
99	I58	Q13	1078639	1079075	436	9722
99	I58	Q28	1078639	1079271	632	9722
99	I58	Q29	1078639	1078977	338	9722
99	I58	P48	1078639	1079209	570	9722
99	I58	P47	1078639	1079209	570	9722
99	I58	F43	1078639	1080112	1473	9722
99	I58	L36	1078639	1080015	1376	9722
99	P49	Q49	1078652	1082365	3713	9722
99	P49	Q13	1078652	1079075	423	9722
99	P49	Q28	1078652	1079271	619	9722
99	P49	Q29	1078652	1078977	325	9722
99	P49	P48	1078652	1079209	557	9722
99	P49	P47	1078652	1079209	557	9722
99	P49	F43	1078652	1080112	1460	9722
99	P49	L36	1078652	1080015	1363	9722
99	Q11	Q49	1078360	1082365	4005	9722
99	Q11	I59	1078360	1078792	432	9722
99	Q11	Q13	1078360	1079075	715	9722
99	Q11	Q28	1078360	1079271	911	9722
99	Q11	Q29	1078360	1078977	617	9722
99	Q11	Q30	1078360	1078681	321	9722
99	Q11	P48	1078360	1079209	849	9722
99	Q11	P47	1078360	1079209	849	9722
99	Q11	F1	1078360	1078796	436	9722
99	Q11	F5	1078360	1078796	436	9722
99	Q11	F43	1078360	1080112	1752	9722
99	Q11	L36	1078360	1080015	1655	9722
99	Q12	Q49	1079122	1082365	3243	9722
99	Q12	F43	1079122	1080112	990	9722
99	Q12	L36	1079122	1080015	893	9722
99	Q26	Q49	1079234	1082365	3131	9722
99	Q26	F43	1079234	1080112	878	9722
99	Q26	L36	1079234	1080015	781	9722
99	Q27	Q49	1078919	1082365	3446	9722
99	Q27	Q28	1078919	1079271	352	9722
99	Q27	P48	1078919	1079209	290	9722
99	Q27	P47	1078919	1079209	290	9722
99	Q27	F43	1078919	1080112	1193	9722
99	Q27	L36	1078919	1080015	1096	9722
99	EE15	EE16	463196	463424	228	17341
99	EE15	AA83	463196	466300	3104	17341
99	II37	JJ50	2018300	2020480	2180	5530
99	II37	HH63	2018300	2019706	1406	5530
99	N71	N70	1732305	1732603	298	16650
99	N71	Q44	1732305	1733762	1457	16650
99	N71	TT48	1732305	1733060	755	16650
99	N73	N80	1728738	1731479	2741	8578
99	N73	N72	1728738	1729832	1094	8578
99	Q38	Q44	1732963	1733762	799	16650
99	F42	Q49	1079564	1082365	2801	9722
99	F42	F43	1079564	1080112	548	9722
99	F42	L36	1079564	1080015	451	9722
99	F44	Q49	1078955	1082365	3410	9722
99	F44	Q28	1078955	1079271	316	9722
99	F44	P48	1078955	1079209	254	9722
99	F44	P47	1078955	1079209	254	9722
99	F44	F43	1078955	1080112	1157	9722
99	F44	L36	1078955	1080015	1060	9722
99	AA82	EE16	461417	463424	2007	17341
99	AA82	AA83	461417	466300	4883	17341
99	OO56	OO55	794476	795011	535	9966
99	PP23	OO55	793437	795011	1574	9966
99	RR46	OO55	794670	795011	341	9966
99	TT49	N80	1728142	1731479	3337	8578
99	TT49	N72	1728142	1729832	1690	8578
